district,LOR,street,LOR_2021,year,month,hour,weekday,category,accident_kind,accident_type,light_condition,car,pedestrian,motorcycle,goods_vehicle,others,road_condition,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
2,2050602.0,Samariterviertel,2500727.0,2018,7,10,6,3,5,2,0,1,0,0,0,0,0,802042.748,5828020.865,13.45247843,52.51840854
2,2040502.0,Friedenstraße,2400521.0,2018,8,15,2,2,4,7,0,0,0,0,0,0,0,801123.9734,5827836.216,13.43881168,52.51726158
3,3061429.0,Greifswalder Straße,3601449.0,2018,4,18,1,3,6,7,0,0,1,0,0,0,1,801394.346,5831072.51,13.44571838,52.54611943
1,1044203.0,Leopoldplatz,1401049.0,2018,9,8,3,3,2,6,0,1,0,0,0,0,0,795931.1848,5831683.352,13.36593503,52.55459007
6,6030503.0,Zehlendorf Mitte                                                                                    ,6300526.0,2018,8,12,4,2,5,2,0,1,0,0,0,0,0,789578.155,5817961.421,13.26056446,52.43498453
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,6,20,4,3,0,3,0,0,0,1,0,0,0,798797.8649,5827986.019,13.40476803,52.51988376
4,4030623.0,Ernst-Reuter-Platz,4300622.0,2018,10,13,3,3,6,7,0,0,1,0,0,0,0,793317.783,5826837.975,13.32322284,52.51256741
2,2020202.0,Rathaus Yorckstraße,2200208.0,2018,7,11,2,3,5,2,0,0,0,0,0,1,0,797898.1027,5825433.636,13.38926219,52.49749705
11,11030721.0,Rüdigerstraße,11300722.0,2018,7,8,5,3,2,2,0,1,0,0,0,0,0,803772.6648,5827581.379,13.47749391,52.51350874
10,10030726.0,Alt-Biesdorf,10300733.0,2018,3,7,3,3,4,6,0,0,0,0,0,0,1,808840.8251,5827415.938,13.5517891,52.50918022
3,3061131.0,Falkplatz,3601142.0,2018,5,8,3,2,5,2,0,1,0,0,0,0,0,799165.6677,5830374.713,13.41232218,52.54109314
4,4030417.0,Schloßstraße,4300414.0,2018,2,9,4,3,5,2,0,1,0,0,0,0,0,791567.6516,5826566.396,13.29726872,52.51107109
1,1011304.0,Karl-Marx-Allee,1100311.0,2018,11,8,6,3,0,2,0,1,0,0,0,0,0,799828.3532,5828179.672,13.42008463,52.52105395
9,9010101.0,Elsenstraße                                                                                         ,9100101.0,2018,6,4,7,3,5,3,1,1,0,0,0,0,0,802761.2476,5825342.986,13.46059988,52.49400855
3,3061126.0,Arnimplatz,3601139.0,2018,4,16,3,3,5,2,0,1,0,0,0,0,0,799218.2564,5832064.215,13.41461757,52.55620801
3,3061126.0,Arnimplatz,3601139.0,2018,9,20,5,3,3,6,2,0,0,0,0,0,0,799240.3042,5831908.537,13.41480148,52.55480048
2,2040703.0,Wriezener Bahnhof/Entwicklungsgebiet,2400625.0,2018,7,20,4,3,4,6,1,0,0,0,0,0,0,801813.3212,5826358.598,13.44760011,52.50363654
2,2050602.0,Samariterviertel,2500727.0,2018,7,13,4,3,0,1,0,0,0,0,0,0,0,802146.2856,5827747.62,13.45375155,52.5159021
7,7040401.0,Neu-Tempelhof,7400720.0,2018,5,17,4,3,5,2,0,0,0,0,0,1,0,797772.847,5823603.915,13.38578759,52.48116406
3,3020209.0,Niederschönhausen,3200206.0,2018,8,16,4,3,2,6,0,1,0,0,0,1,0,797974.4995,5834389.467,13.39841493,52.57773257
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,4,15,5,3,5,3,0,1,0,0,0,0,1,799696.8678,5828513.153,13.41845302,52.52411536
3,3061228.0,Erich-Weinert-Straße,3601245.0,2018,5,17,4,3,5,3,0,1,0,0,0,0,0,800201.733,5831112.73,13.42822031,52.54713839
4,4030417.0,Schloßstraße,4300414.0,2018,12,12,4,3,5,2,0,1,0,0,0,0,0,791844.9526,5826591.889,13.30136557,52.51115133
10,10040830.0,Kaulsdorf Süd                                                                                       ,10400837.0,2018,8,16,7,3,5,7,0,1,0,0,0,0,0,811356.0438,5827108.896,13.58844336,52.50499909
3,3061126.0,Arnimplatz,3601139.0,2018,4,21,6,3,5,2,2,0,0,0,0,1,0,799238.191,5831932.549,13.41479204,52.55501687
2,2020202.0,Rathaus Yorckstraße,2200208.0,2018,3,20,4,3,1,5,2,1,0,0,0,0,1,797725.0543,5825491.559,13.38677238,52.49811068
4,4030417.0,Schloßstraße,4300414.0,2018,8,12,5,3,0,7,0,0,0,0,0,0,0,790795.3426,5826420.813,13.28579349,52.5101782
9,9010101.0,Elsenstraße                                                                                         ,9100101.0,2018,9,16,2,3,0,2,0,1,0,0,0,0,0,802580.7006,5825075.569,13.45770576,52.4917118
7,7050502.0,Fritz-Werner-Straße                                                                                 ,7501133.0,2018,6,16,1,2,0,1,0,0,0,0,0,0,0,798192.196,5818900.192,13.38774267,52.43877174
12,12231101.0,Hermsdorf,12400723.0,2018,7,20,6,2,0,1,0,0,0,0,0,0,0,792165.4728,5838419.513,13.3164906,52.61701006
2,2020202.0,Rathaus Yorckstraße,2200208.0,2018,5,19,5,3,5,2,0,1,0,0,0,0,0,797899.3794,5825427.685,13.38927562,52.49744301
3,3040614.0,Pankow Zentrum                                                                                      ,3400723.0,2018,11,15,6,3,5,3,1,0,0,0,0,1,1,798381.559,5833468.65,13.4035757,52.56925577
3,3071633.0,Thälmannpark,3701657.0,2018,7,16,3,3,0,1,0,0,0,0,0,0,0,800128.0305,5830674.114,13.42674035,52.54324756
11,11030721.0,Rüdigerstraße,11300722.0,2018,6,17,4,3,6,4,0,0,1,0,0,0,0,803657.994,5827575.924,13.47580433,52.51352369
6,6040701.0,Wannsee,6400735.0,2018,5,11,2,2,3,2,0,1,0,0,0,0,0,783871.0011,5815945.978,13.17512891,52.4199052
4,4020208.0,Kranzallee,4200206.0,2018,2,7,3,3,5,2,0,1,0,0,0,0,0,787853.286,5825950.417,13.24215594,52.50752135
10,10040933.0,Mahlsdorf Süd                                                                                       ,10400941.0,2018,7,14,1,3,5,2,0,1,0,0,0,0,0,813819.5509,5827138.296,13.6246477,52.50385131
2,2040502.0,Friedenstraße,2400521.0,2018,4,18,2,3,3,6,0,0,0,0,0,0,0,801137.7291,5827834.78,13.43901249,52.51724112
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,5,0,2,2,5,3,2,1,0,0,0,0,0,806601.454,5821134.833,13.51312024,52.45415033
10,10010204.0,Wuhletalstraße                                                                                      ,10100206.0,2018,9,16,5,2,5,3,0,1,0,0,0,0,0,808902.141,5833409.639,13.55826051,52.56285932
3,3061429.0,Greifswalder Straße,3601449.0,2018,8,10,3,3,6,4,0,0,1,0,0,0,0,801088.1179,5830717.103,13.44089397,52.54310319
1,1011102.0,Großer Tiergarten,1100102.0,2018,6,23,6,3,0,1,2,0,0,0,0,0,0,795490.1492,5827218.033,13.35547877,52.51480183
12,12103117.0,Letteplatz,12100101.0,2018,6,17,6,3,5,2,0,1,0,0,0,0,0,795797.9356,5832516.575,13.36471798,52.56213147
2,2050802.0,Boxhagener Platz,2500833.0,2018,8,1,1,3,0,1,2,0,0,0,0,0,0,802073.0817,5827198.818,13.45217787,52.51102373
2,2050602.0,Samariterviertel,2500728.0,2018,5,8,4,3,3,6,0,0,0,0,0,0,0,802839.5748,5827676.12,13.46387216,52.51487674
3,3040513.0,Schönholz,3400620.0,2018,9,5,5,3,5,2,2,1,0,0,0,0,0,798001.0513,5833654.2,13.3981448,52.5711274
3,3020209.0,Niederschönhausen,3200206.0,2018,8,19,5,3,0,1,1,0,0,0,0,1,0,798166.7032,5834713.752,13.40153464,52.58053402
1,1011102.0,Großer Tiergarten,1100102.0,2018,8,20,3,2,6,7,1,0,1,0,0,0,0,795487.0164,5827229.618,13.35544302,52.51490738
2,2040502.0,Friedenstraße,2400521.0,2018,4,8,3,3,3,6,0,1,0,0,0,0,0,801088.6119,5827839.905,13.43829546,52.51731418
12,12231101.0,Hermsdorf,12400723.0,2018,4,6,5,3,5,3,0,1,0,0,0,0,0,792115.943,5837984.848,13.31537724,52.61314013
