OBJECTID;LAND;BEZ;LOR;STRASSE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;USTRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
198067;11;1;1011203;Unter den Linden Süd;2019;8;17;3;3;5;3;0;0;1;0;0;0;1;0;797757,1703;5827447,417;13,38899;52,51563
198068;11;10;10010203;Gewerbegebiet Bitterfelder Straße;2019;8;17;4;3;5;3;0;1;0;0;0;0;1;0;807649,1373;5830820,334;13,53743;52,54036
198069;11;6;6020303;Lankwitz Kirche;2019;8;17;3;3;5;2;0;0;1;0;1;0;0;0;795577,8985;5818297,475;13,34886;52,43479
198070;11;1;1011202;Unter den Linden Nord;2019;8;8;4;3;5;2;0;1;0;0;1;0;0;0;797648,5536;5828123,815;13,388;52,52175
198071;11;3;3051021;Buschallee;2019;8;11;3;3;2;5;0;0;1;0;1;0;0;0;803299,0151;5832238,536;13,47479;52,55551
198072;11;2;2010104;Wassertorplatz;2019;8;16;4;3;6;7;0;1;0;1;0;0;0;0;799037,4848;5825525,393;13,40608;52,4977
198073;11;8;8010117;Schillerpromenade;2019;8;12;3;3;2;6;0;1;1;0;0;0;0;0;800581,6621;5823235,918;13,42669;52,47633
198074;11;1;1044201;Reinickendorfer Straße;2019;8;16;4;2;1;5;0;0;1;0;1;0;0;0;796613,8589;5831758,443;13,37604;52,55489
198075;11;1;1033101;Soldiner Straße;2019;8;11;3;3;5;3;0;0;1;0;1;0;0;0;797681,2015;5832859,991;13,39273;52,56418
198076;11;5;5030832;Rohrdamm;2019;8;11;3;3;6;7;0;0;1;1;0;0;0;0;789682,9471;5829290,225;13,27195;52,53649
198077;11;1;1044201;Reinickendorfer Straße;2019;8;15;4;3;5;2;0;0;1;0;1;0;0;0;796315,8523;5831639,222;13,37155;52,55399
198078;11;6;6040806;Fischtal;2019;8;10;3;3;1;5;0;1;1;0;0;0;0;0;789432,1103;5819803,077;13,26002;52,45157
198079;11;4;4030623;Ernst-Reuter-Platz;2019;8;15;4;2;5;2;0;1;0;0;0;0;1;0;793381,001;5827323,304;13,32458;52,51688
198080;11;8;8010117;Schillerpromenade;2019;8;9;3;3;5;3;0;0;1;0;1;0;1;0;800610,3629;5823149,809;13,42704;52,47554
