OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
205012;11;8;8010404;Rixdorf;8100417;2018;9;13;7;3;6;4;0;0;0;1;0;0;1;0;802241,8217;5822905,258;13,45076217;52,47244689
205013;11;7;7030301;Friedenau;7300517;2018;9;20;5;3;6;7;2;1;0;1;0;0;0;0;794404,1677;5822398,237;13,33526234;52,47218239
205014;11;4;4030827;Karl-August-Platz;4300623;2018;9;15;7;3;1;5;0;1;1;0;0;0;0;0;792456,2641;5826261,616;13,31005753;52,50786312
205015;11;2;2020206;Graefekiez;2200212;2018;9;0;3;3;5;2;2;1;1;0;0;0;0;0;799770,6943;5824491,289;13,41591655;52,488025
205016;11;11;11020411;Malchower Weg;11200410;2018;9;9;3;3;5;3;0;1;1;0;0;0;0;0;804974,7079;5833032,79;13,50015527;52,56169586
205017;11;6;6020301;Alt-Lankwitz;6200311;2018;9;21;7;2;0;6;2;1;1;0;0;0;0;0;795823,1635;5818310,563;13,35247144;52,43477268
205018;11;11;11030619;Fennpfuhl Ost;11300620;2018;9;9;3;2;0;3;0;0;1;0;1;0;0;0;803538,7976;5829741,887;13,47603001;52,53300297
205019;11;10;10020414;Helle Mitte;10200421;2018;9;18;3;2;6;4;0;0;1;1;0;0;0;0;812377,2834;5830961,272;13,60705838;52,53893697
205020;11;10;10010102;Havemannstraße                                                                                      ;10100104;2018;9;22;7;3;5;2;2;0;1;0;0;0;1;0;809959,6868;5833989,207;13,57435348;52,56745211
205021;11;1;1011304;Karl-Marx-Allee;1100311;2018;9;21;7;2;2;6;2;1;1;0;0;0;0;0;800052,9393;5828095,523;13,42330886;52,52017616
205022;11;1;1033102;Gesundbrunnen;1300733;2018;9;9;3;2;5;3;0;1;0;0;0;1;0;0;797674,3862;5831310,16;13,39123638;52,55029494
205023;11;12;12304313;Borsigwalde;12500825;2018;9;9;3;2;5;2;0;1;0;0;0;0;1;0;791841,5587;5834653,118;13,30839966;52,58341992
205024;11;6;6020409;Königsberger Straße                                                                                 ;6200421;2018;9;19;7;3;5;7;2;0;1;0;1;0;0;0;793287,7268;5817006,258;13,31413875;52,42444524
